ord_date,ord_time,p_id,quantity_sold,total_sales
2024-12-05,05 : 19 : 34 AM,49,3,150.0
2024-12-05,05 : 19 : 34 AM,50,4,200.0
2024-12-05,05 : 19 : 34 AM,51,5,250.0
2024-12-05,05 : 25 : 12 AM,52,1,50.0
2024-12-05,05 : 25 : 12 AM,53,2,100.0
2024-12-05,05 : 25 : 12 AM,54,3,150.0
2024-12-05,05 : 30 : 43 AM,55,4,200.0
2024-12-05,05 : 30 : 43 AM,56,5,250.0
2024-12-05,05 : 30 : 43 AM,57,1,60.0
2024-12-05,05 : 35 : 16 AM,58,1,70.0
2024-12-05,05 : 35 : 16 AM,59,2,80.0
2024-12-05,05 : 35 : 16 AM,60,3,90.0
2024-01-01,10 : 00 : 10 AM,101,1,500.0
2024-01-01,10 : 05 : 15 AM,102,2,600.0
2024-01-01,10 : 10 : 20 AM,103,1,300.0
2024-01-01,10 : 15 : 30 AM,104,3,450.0
2024-01-01,10 : 20 : 45 AM,105,1,250.0
2024-01-01,10 : 25 : 50 AM,106,2,400.0
2024-01-02,10 : 00 : 10 AM,107,1,350.0
2024-01-02,10 : 05 : 15 AM,108,3,750.0
2024-01-02,10 : 10 : 30 AM,109,2,400.0
2024-01-02,10 : 15 : 40 AM,110,1,550.0
2024-01-02,10 : 20 : 50 AM,111,4,800.0
2024-01-02,10 : 25 : 55 AM,112,3,600.0
2024-02-01,10 : 00 : 10 AM,113,2,700.0
2024-02-01,10 : 05 : 10 AM,114,1,400.0
2024-02-01,10 : 10 : 20 AM,115,3,900.0
2024-02-01,10 : 15 : 30 AM,116,2,600.0
2024-02-01,10 : 20 : 40 AM,117,4,1000.0
2024-02-01,10 : 25 : 50 AM,118,1,200.0
2024-02-02,10 : 00 : 00 AM,119,3,450.0
2024-02-02,10 : 05 : 10 AM,120,2,400.0
2024-02-02,10 : 10 : 20 AM,121,1,250.0
2024-02-02,10 : 15 : 30 AM,122,3,600.0
2024-02-02,10 : 20 : 40 AM,123,2,500.0
2024-02-02,10 : 25 : 50 AM,124,4,800.0
2024-03-01,10 : 00 : 10 AM,125,1,350.0
2024-03-01,10 : 05 : 15 AM,126,2,600.0
2024-03-01,10 : 10 : 20 AM,127,3,750.0
2024-03-01,10 : 15 : 30 AM,128,2,400.0
2024-03-01,10 : 20 : 45 AM,129,1,200.0
2024-03-01,10 : 25 : 55 AM,130,4,1000.0
2024-03-02,10 : 00 : 00 AM,131,1,500.0
2024-03-02,10 : 05 : 10 AM,132,2,700.0
2024-03-02,10 : 10 : 20 AM,133,3,900.0
2024-03-02,10 : 15 : 30 AM,134,2,400.0
2024-03-02,10 : 20 : 40 AM,135,1,250.0
2024-03-02,10 : 25 : 50 AM,136,3,600.0
2024-04-01,10 : 00 : 10 AM,137,1,550.0
2024-04-01,10 : 05 : 15 AM,138,2,650.0
2024-04-01,10 : 10 : 20 AM,139,1,400.0
2024-04-01,10 : 15 : 30 AM,140,3,750.0
2024-04-01,10 : 20 : 45 AM,141,2,500.0
2024-04-01,10 : 25 : 50 AM,142,4,800.0
2024-04-02,10 : 00 : 00 AM,143,1,300.0
2024-04-02,10 : 05 : 10 AM,144,3,900.0
2024-04-02,10 : 10 : 20 AM,145,2,500.0
2024-04-02,10 : 15 : 30 AM,146,1,350.0
2024-04-02,10 : 20 : 40 AM,147,4,1200.0
2024-04-02,10 : 25 : 50 AM,148,2,600.0
2024-05-01,10 : 00 : 10 AM,149,1,400.0
2024-05-01,10 : 05 : 15 AM,150,2,500.0
2024-05-01,10 : 10 : 20 AM,151,3,750.0
2024-05-01,10 : 15 : 30 AM,152,2,400.0
2024-05-01,10 : 20 : 45 AM,153,4,950.0
2024-05-01,10 : 25 : 55 AM,154,1,350.0
2024-05-02,10 : 00 : 00 AM,155,3,900.0
2024-05-02,10 : 05 : 10 AM,156,2,600.0
2024-05-02,10 : 10 : 20 AM,157,1,250.0
2024-05-02,10 : 15 : 30 AM,158,3,700.0
2024-05-02,10 : 20 : 40 AM,159,2,500.0
2024-05-02,10 : 25 : 50 AM,160,4,800.0
2024-06-01,10 : 00 : 10 AM,161,1,400.0
2024-06-01,10 : 05 : 15 AM,162,3,800.0
2024-06-01,10 : 10 : 20 AM,163,2,500.0
2024-06-01,10 : 15 : 30 AM,164,1,350.0
2024-06-01,10 : 20 : 45 AM,165,3,900.0
2024-06-01,10 : 25 : 55 AM,166,2,400.0
2024-06-02,10 : 00 : 00 AM,167,1,250.0
2024-06-02,10 : 05 : 10 AM,168,2,500.0
2024-06-02,10 : 10 : 20 AM,169,3,750.0
2024-06-02,10 : 15 : 30 AM,170,1,300.0
2024-06-02,10 : 20 : 40 AM,171,2,600.0
2024-06-02,10 : 25 : 50 AM,172,4,1200.0
2024-07-01,10 : 00 : 10 AM,173,1,350.0
2024-07-01,10 : 05 : 15 AM,174,3,750.0
2024-07-01,10 : 10 : 20 AM,175,2,600.0
2024-07-01,10 : 15 : 30 AM,176,1,400.0
2024-07-01,10 : 20 : 45 AM,177,4,950.0
2024-07-01,10 : 25 : 55 AM,178,2,500.0
2024-07-02,10 : 00 : 00 AM,179,3,900.0
2024-07-02,10 : 05 : 10 AM,180,2,600.0
2024-07-02,10 : 10 : 20 AM,181,1,250.0
2024-07-02,10 : 15 : 30 AM,182,3,700.0
2024-07-02,10 : 20 : 40 AM,183,2,500.0
2024-07-02,10 : 25 : 50 AM,184,4,1200.0
2024-08-01,10 : 00 : 10 AM,185,1,400.0
2024-08-01,10 : 05 : 15 AM,186,2,500.0
2024-08-01,10 : 10 : 20 AM,187,3,750.0
2024-08-01,10 : 15 : 30 AM,188,2,400.0
2024-08-01,10 : 20 : 45 AM,189,4,950.0
2024-08-01,10 : 25 : 55 AM,190,1,350.0
2024-08-02,10 : 00 : 00 AM,191,3,900.0
2024-08-02,10 : 05 : 10 AM,192,2,600.0
2024-08-02,10 : 10 : 20 AM,193,1,250.0
2024-08-02,10 : 15 : 30 AM,194,3,700.0
2024-08-02,10 : 20 : 40 AM,195,2,500.0
2024-08-02,10 : 25 : 50 AM,196,4,800.0
2024-09-01,10 : 00 : 10 AM,197,1,350.0
2024-09-01,10 : 05 : 15 AM,198,2,600.0
2024-09-01,10 : 10 : 20 AM,199,3,750.0
2024-09-01,10 : 15 : 30 AM,200,2,400.0
2024-09-01,10 : 20 : 45 AM,201,4,950.0
2024-09-01,10 : 25 : 55 AM,202,1,350.0
2024-09-02,10 : 00 : 00 AM,203,3,900.0
2024-09-02,10 : 05 : 10 AM,204,2,600.0
2024-09-02,10 : 10 : 20 AM,205,1,250.0
2024-09-02,10 : 15 : 30 AM,206,3,700.0
2024-09-02,10 : 20 : 40 AM,207,2,500.0
2024-09-02,10 : 25 : 50 AM,208,4,1200.0
2024-10-01,10 : 00 : 10 AM,209,1,400.0
2024-10-01,10 : 05 : 15 AM,210,3,750.0
2024-10-01,10 : 10 : 20 AM,211,2,600.0
2024-10-01,10 : 15 : 30 AM,212,1,350.0
2024-10-01,10 : 20 : 45 AM,213,3,900.0
2024-10-01,10 : 25 : 50 AM,214,2,500.0
2024-10-02,10 : 00 : 00 AM,215,1,250.0
2024-10-02,10 : 05 : 10 AM,216,2,500.0
2024-10-02,10 : 10 : 20 AM,217,3,750.0
2024-10-02,10 : 15 : 30 AM,218,1,300.0
2024-10-02,10 : 20 : 40 AM,219,2,600.0
2024-10-02,10 : 25 : 50 AM,220,4,1200.0
2023-01-01,10 : 00 : 10 AM,101,1,500.0
2023-01-01,10 : 05 : 15 AM,102,2,600.0
2023-01-01,10 : 10 : 20 AM,103,1,300.0
2023-01-01,10 : 15 : 30 AM,104,3,450.0
2023-01-01,10 : 20 : 45 AM,105,1,250.0
2023-01-01,10 : 25 : 50 AM,106,2,400.0
2023-01-02,10 : 00 : 10 AM,107,1,350.0
2023-01-02,10 : 05 : 15 AM,108,3,750.0
2023-01-02,10 : 10 : 30 AM,109,2,400.0
2023-01-02,10 : 15 : 40 AM,110,1,550.0
2023-01-02,10 : 20 : 50 AM,111,4,800.0
2023-01-02,10 : 25 : 55 AM,112,3,600.0
2023-02-01,10 : 00 : 10 AM,113,2,700.0
2023-02-01,10 : 05 : 10 AM,114,1,400.0
2023-02-01,10 : 10 : 20 AM,115,3,900.0
2023-02-01,10 : 15 : 30 AM,116,2,600.0
2023-02-01,10 : 20 : 40 AM,117,4,1000.0
2023-02-01,10 : 25 : 50 AM,118,1,200.0
2023-02-02,10 : 00 : 00 AM,119,3,450.0
2023-02-02,10 : 05 : 10 AM,120,2,400.0
2023-02-02,10 : 10 : 20 AM,121,1,250.0
2023-02-02,10 : 15 : 30 AM,122,3,600.0
2023-02-02,10 : 20 : 40 AM,123,2,500.0
2023-02-02,10 : 25 : 50 AM,124,4,800.0
2023-03-01,10 : 00 : 10 AM,125,1,350.0
2023-03-01,10 : 05 : 15 AM,126,2,600.0
2023-03-01,10 : 10 : 20 AM,127,3,750.0
2023-03-01,10 : 15 : 30 AM,128,2,400.0
2023-03-01,10 : 20 : 45 AM,129,1,200.0
2023-03-01,10 : 25 : 55 AM,130,4,1000.0
2023-03-02,10 : 00 : 00 AM,131,1,500.0
2023-03-02,10 : 05 : 10 AM,132,2,700.0
2023-03-02,10 : 10 : 20 AM,133,3,900.0
2023-03-02,10 : 15 : 30 AM,134,2,400.0
2023-03-02,10 : 20 : 40 AM,135,1,250.0
2023-03-02,10 : 25 : 50 AM,136,3,600.0
2023-04-01,10 : 00 : 10 AM,137,1,550.0
2023-04-01,10 : 05 : 15 AM,138,2,650.0
2023-04-01,10 : 10 : 20 AM,139,1,400.0
2023-04-01,10 : 15 : 30 AM,140,3,750.0
2023-04-01,10 : 20 : 45 AM,141,2,500.0
2023-04-01,10 : 25 : 50 AM,142,4,800.0
2023-04-02,10 : 00 : 00 AM,143,1,300.0
2023-04-02,10 : 05 : 10 AM,144,3,900.0
2023-04-02,10 : 10 : 20 AM,145,2,500.0
2023-04-02,10 : 15 : 30 AM,146,1,350.0
2023-04-02,10 : 20 : 40 AM,147,4,1200.0
2023-04-02,10 : 25 : 50 AM,148,2,600.0
2023-05-01,10 : 00 : 10 AM,149,1,400.0
2023-05-01,10 : 05 : 15 AM,150,2,500.0
2023-05-01,10 : 10 : 20 AM,151,3,750.0
2023-05-01,10 : 15 : 30 AM,152,2,400.0
2023-05-01,10 : 20 : 45 AM,153,4,950.0
2023-05-01,10 : 25 : 55 AM,154,1,350.0
2023-05-02,10 : 00 : 00 AM,155,3,900.0
2023-05-02,10 : 05 : 10 AM,156,2,600.0
2023-05-02,10 : 10 : 20 AM,157,1,250.0
2023-05-02,10 : 15 : 30 AM,158,3,700.0
2023-05-02,10 : 20 : 40 AM,159,2,500.0
2023-05-02,10 : 25 : 50 AM,160,4,800.0
2023-06-01,10 : 00 : 10 AM,161,1,400.0
2023-06-01,10 : 05 : 15 AM,162,3,800.0
2023-06-01,10 : 10 : 20 AM,163,2,500.0
2023-06-01,10 : 15 : 30 AM,164,1,350.0
2023-06-01,10 : 20 : 45 AM,165,3,900.0
2023-06-01,10 : 25 : 55 AM,166,2,400.0
2023-06-02,10 : 00 : 00 AM,167,1,250.0
2023-06-02,10 : 05 : 10 AM,168,2,500.0
2023-06-02,10 : 10 : 20 AM,169,3,750.0
2023-06-02,10 : 15 : 30 AM,170,1,300.0
2023-06-02,10 : 20 : 40 AM,171,2,600.0
2023-06-02,10 : 25 : 50 AM,172,4,1200.0
2023-07-01,10 : 00 : 10 AM,173,1,350.0
2023-07-01,10 : 05 : 15 AM,174,3,750.0
2023-07-01,10 : 10 : 20 AM,175,2,600.0
2023-07-01,10 : 15 : 30 AM,176,1,400.0
2023-07-01,10 : 20 : 45 AM,177,4,950.0
2023-07-01,10 : 25 : 55 AM,178,2,500.0
2023-07-02,10 : 00 : 00 AM,179,3,900.0
2023-07-02,10 : 05 : 10 AM,180,2,600.0
2023-07-02,10 : 10 : 20 AM,181,1,250.0
2023-07-02,10 : 15 : 30 AM,182,3,700.0
2023-07-02,10 : 20 : 40 AM,183,2,500.0
2023-07-02,10 : 25 : 50 AM,184,4,1200.0
2023-08-01,10 : 00 : 10 AM,185,1,400.0
2023-08-01,10 : 05 : 15 AM,186,2,500.0
2023-08-01,10 : 10 : 20 AM,187,3,750.0
2023-08-01,10 : 15 : 30 AM,188,2,400.0
2023-08-01,10 : 20 : 45 AM,189,4,950.0
2023-08-01,10 : 25 : 55 AM,190,1,350.0
2023-08-02,10 : 00 : 00 AM,191,3,900.0
2023-08-02,10 : 05 : 10 AM,192,2,600.0
2023-08-02,10 : 10 : 20 AM,193,1,250.0
2023-08-02,10 : 15 : 30 AM,194,3,700.0
2023-08-02,10 : 20 : 40 AM,195,2,500.0
2023-08-02,10 : 25 : 50 AM,196,4,800.0



